Tweet text,Link Title,Tweet total length,Hashtags length,Author total tweets,Author quality tweets,Host total urls,Host quality urls,Source total urls,Source quality urls,Number of hashtags,Number of user mentions,Quality score,Is retweet?
ZBrush - Continuing work: http://t.co/diLg9XNqy0,DrBo42,48,0,3,3,5,5,3,3,0,0,1,0
Tutorial: How to create Tileable Brick Floor in Pixologic ZBrush http://t.co/5HojcFPv4I,G_ZBRUSH_WORLD,87,0,7,6,10,6,9,6,0,0,1,0
Tutorial: Creating seamless texture for games PART 3 (Pixologic ZBrush) http://t.co/Anqg9DSbPR,G_ZBRUSH_WORLD,94,0,7,6,10,6,9,6,0,0,1,0
RT @AdskMaya: Senior Character Artist Frankie DeRosa re-created Raphael. http://t.co/sZ6sHfbHsV #Maya #Zbrush #MentalRay #TMNT http://t.c…,TMNT Raphael Frankie DeRosa,138,29,2,0,16,0,109,34,4,1,-1,1
RT @AdskMaya: I am the one who knocks. Great work by Wandong Xu in #Maya #Zbrush #Vray #Photoshop http://t.co/qxW6VBTMuO http://t.co/JIv…,WW by Wandong Xu | Fan Art | 3D | CGSocietylarrgrid-buttonrarrproject-thumbnail-commentsfooter-logo,137,29,2,0,2,0,109,34,4,1,-1,1
I made a creepy 3D toy robot.. Idk why. #venturiantale #zbrush http://t.co/aXIaOkUOsq,HomelessGoomba on Instagram: “I made a creepy 3D toy robot.. Idk why. #venturiantale #zbrush”,85,21,1,0,63,0,59,0,2,0,-1,0
Merry Creature-mas! #Xmas #sculptures #zbrush http://t.co/DrTdFIyV3x,Adrian Bedoya on Instagram: “Merry Creature-mas! #Xmas #sculptures #zbrush”,68,24,3,0,63,0,59,0,3,0,-1,0
The yak. #keyshot #zbrush #render http://t.co/XYKk9MZTl4,Adrian Bedoya on Instagram: “The yak. #keyshot #zbrush #render”,56,23,3,0,63,0,59,0,3,0,-1,0
The yak. #zbrush #keyshot http://t.co/40p4dn2LRm,Adrian Bedoya on Instagram: “The yak. #zbrush #keyshot”,48,15,3,0,63,0,59,0,2,0,-1,0
Look what arrived right before Christmas! It is what I have won from that zbrush summit earlier this year. Shout... http://t.co/KvNndcO69V,Mobile Uploads - Kirill Chepizhko | Facebook,138,0,1,0,23,1,29,6,0,0,-1,0
RT @wampa_stomps: Merry Creature-mas! #Xmas #sculptures #zbrush http://t.co/DrTdFIyV3x,Adrian Bedoya on Instagram: “Merry Creature-mas! #Xmas #sculptures #zbrush”,86,24,2,0,63,0,2,0,3,1,-1,1
RT @wampa_stomps: The yak. #zbrush #keyshot http://t.co/40p4dn2LRm,Adrian Bedoya on Instagram: “The yak. #zbrush #keyshot”,66,15,2,0,63,0,2,0,2,1,-1,1
#ZBrush character sculpted by June Ho Cho http://t.co/3kTOrfxxMm #characterart #cartoon #digitalsculpting #3dart http://t.co/vxi5W7whcQ,zbrush June Ho Cho,135,54,15,0,16,0,23,5,5,0,-1,0
RT @UArtsy: #ZBrush character sculpted by June Ho Cho http://t.co/3kTOrfxxMm #characterart #cartoon #digitalsculpting #3dart http://t.co/vx…,zbrush June Ho Cho,140,54,10,1,16,0,109,34,5,1,-1,1
ZBrush at SIGGRAPH 2013 Blizzard Part 3 http://t.co/nhOCQctvVF,ZBrush at SIGGRAPH 2013 Blizzard Part 3,62,0,6,6,6,6,8,6,0,0,1,0
CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo http://t.co/r6XffFiblO,CTN animation eXpo 2014: Joseph Drust ZBrush 4R7 Demo,76,0,1,1,1,1,29,6,0,0,1,0
RT @UArtsy: #ZBrush character sculpted by June Ho Cho http://t.co/3kTOrfxxMm #characterart #cartoon #digitalsculpting #3dart http://t.co/vx…,zbrush June Ho Cho,140,54,21,0,16,0,21,0,5,1,-1,1
Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday… http://t.co/nPVLvEKVXX,Valerio Bellia on Instagram: “Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart #illustration #pixologic…”,124,80,7,0,63,0,59,0,8,0,-1,0
Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart... http://t.co/NMVNsLINVj,Valello - Timeline Photos | Facebook,136,90,7,0,23,1,29,6,9,0,-1,0
Photo: Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday... http://t.co/gqDjvhjhyA,Valello — Easy rider orc WIP #3d #3dart #3dmodel #character...,133,80,7,0,12,1,13,1,8,0,-1,0
RT @ValerioFere: Photo: Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday... http://t.co…,Valello — Easy rider orc WIP #3d #3dart #3dmodel #character...,140,80,10,1,12,1,109,34,8,1,-1,1
RT @pixologic: Dont miss Pablos fantastic #ZBrush skin material and tutorial breakdown! http://t.co/Xvhy53oPJ7 http://t.co/VLJA7X17dF,Dynamesh sketchbook - Page 19,133,6,4,1,11,2,109,34,1,1,1,1
RT @UArtsy: #ZBrush character sculpted by June Ho Cho http://t.co/3kTOrfxxMm #characterart #cartoon #digitalsculpting #3dart http://t.co/vx…,zbrush June Ho Cho,140,54,4,1,16,0,109,34,5,1,-1,1
RT @ValerioFere: Photo: Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday... http://t.co…,Valello — Easy rider orc WIP #3d #3dart #3dmodel #character...,140,80,21,0,12,1,21,0,8,1,-1,1
RT @ValerioFere: Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart... http://…,Valello - Timeline Photos | Facebook,139,90,21,0,23,1,21,0,9,1,-1,1
RT @ValerioFere: Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday… http://t.co/nPVLvEK…,Valerio Bellia on Instagram: “Easy rider orc WIP #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart #illustration #pixologic…”,139,80,21,0,63,0,21,0,8,1,-1,1
RT @UArtsy: #ZBrush character sculpted by June Ho Cho http://t.co/3kTOrfxxMm #characterart #cartoon #digitalsculpting #3dart http://t.co/vx…,zbrush June Ho Cho,140,54,7,0,16,0,7,0,5,1,-1,1
RT @UArtsy: #ZBrush character sculpted by June Ho Cho http://t.co/3kTOrfxxMm #characterart #cartoon #digitalsculpting #3dart http://t.co/vx…,zbrush June Ho Cho,140,54,1,0,16,0,11,5,5,1,-1,1
RT @akosimangtomas: The General work in progress 3D model done in Zbrush #3dmodel #3dsculpt #zbrush http://t.co/vOvdijWAk0,@akosimangtomas on Instagram: “The General work in progress 3D model done in Zbrush #3dmodel #3dsculpt #zbrush”,122,25,2,0,63,0,109,34,3,1,-1,1
RT @pixologic: Alien Race: Monzeerian by Mytholon. #ZBrush sculpting and Photoshop paintover - http://t.co/K3vb96c3uO http://t.co/9ug6HJL…,imagine - enthuse - inspire - Page 4,138,6,2,0,11,2,109,34,1,1,-1,1
How to Create Edge Maps in Zbrush http://t.co/sE9qA3p4XS #zbrushtutorial @avcgi360 http://t.co/oEfwjdEi91,Create Edge Maps in ZBrush | AVCGI 360,105,14,5,5,6,6,109,34,1,1,1,0
WW by Wandong Xu | Tools Maya ZBrush MARI Photoshop VRay Submit ur work to CGMeetup Gallery ... http://t.co/WtipfmRtGq,Alex Smith - WW by Wandong Xu | Tools Maya ZBrush MARI... | Facebook,118,0,4,0,23,1,58,51,0,0,-1,0
ZBrush tip of the day by Glen Southern! Making eyeballs using Spotlight and textures works well but what if you... http://t.co/nrgQaRzHhE,Timeline Photos - http://www.3dtotal.com/ - The CG Artists Homepage! | Facebook,137,0,2,1,23,1,29,6,0,0,1,0
New: ZBrush tip of the day by Glen Southern! Making eyeballs using Spotlight and textures works well but what ... http://t.co/x5tUI1oJj8,// 3D tip of the day - ZBrush eyeball with symmetry by Glen Southern,136,0,1,1,6,6,58,51,0,0,1,0
Congrats! You have joined this course. | UArtsy https://t.co/yg0vYRmyiO #12DaysofZBrush #Zbrush Thank you so much!!! It was really Great!,Detailing And Rigging In ZBrush And 3DS Max | UArtsy,137,22,2,1,5,0,45,15,2,0,-1,0
RT @akosimangtomas: A quick zbrush sculp...just practicing...messing around with the WME game engine...messing around with… http://t.co/1iA…,@akosimangtomas on Instagram: “A quick zbrush sculp...just practicing...messing around with the WME game engine...messing around with creating my own game content :):):)”,140,0,2,0,63,0,109,34,0,1,-1,1
ZBrush tip of the day by Glen Southern! Making eyeballs using Spotlight and textures works well… http://t.co/7mv0vimr6i #CG #Design #3D,// 3D tip of the day - ZBrush eyeball with symmetry by Glen Southern,135,14,1,1,6,6,20,3,3,0,1,0
Rathalos head made with ZBrush #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday... http://t.co/HehrjkqCOk,Valerio Bellia on Instagram: “Rathalos head made with ZBrush #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart #illustration…”,138,80,1,0,63,0,58,51,8,0,-1,0
12th and final day is for the riggers! #ZBrush @uartsy Congrats! You have joined this course. | UArtsy https://t.co/eVXlasM5Rd,Detailing And Rigging In ZBrush And 3DS Max | UArtsy,126,6,2,0,5,0,45,15,1,1,-1,0
RT @_jst1: Rathalos head made with ZBrush #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday... http://t.co/…,Valerio Bellia on Instagram: “Rathalos head made with ZBrush #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart #illustration…”,140,80,21,0,63,0,21,0,8,1,-1,1
WW by Wandong Xu | Tools Maya ZBrush MARI Photoshop VRay Submit ur work to CGMeetup Gallery ... http://t.co/WtipfmRtGq,Alex Smith - WW by Wandong Xu | Tools Maya ZBrush MARI... | Facebook,118,0,4,0,23,1,58,51,0,0,-1,0
Congrats! You have joined this course. | UArtsy https://t.co/Ybe6Y2awr7,Detailing And Rigging In ZBrush And 3DS Max | UArtsy,71,0,3,1,5,0,45,15,0,0,-1,0
Detailing And Rigging In ZBrush And 3DS Max | UArtsy: https://t.co/SrahjSOOhZ,Detailing And Rigging In ZBrush And 3DS Max | UArtsy,77,0,1,0,5,0,45,15,0,0,-1,0
ZBrush - Continuing work: http://t.co/i6HfBx1kEO,DrBo42,48,0,3,3,5,5,3,3,0,0,1,0
I just liked ZBrush eyeball tutorial by Glen Southern on Vimeo: http://t.co/wTV4VzC6pq,ZBrush eyeball tutorial by Glen Southern,86,0,1,1,4,2,2,1,0,0,1,0
Space Engineer via @artstationhq http://t.co/eqUUeHumsK #b3d #zbrush #keyshot,Space Engineer Yaakoub El hatmi,77,20,1,0,16,0,45,15,3,1,-1,0
On the 12th day of ZBrush @UArtsy gave to me 12 Riggers Rigging… https://t.co/nWlX6BMGNS #12DaysofZBrush,Detailing And Rigging In ZBrush And 3DS Max | UArtsy,104,14,3,0,5,0,45,15,1,1,-1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 11 | Watch: http://t.co/tNgN1L6jir by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 11,139,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 1 | Watch: http://t.co/Hh1bSEYf6g by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 1,138,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 5 | Watch: http://t.co/G2sH5u4mUV by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 5,138,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 9 | Watch: http://t.co/JcZeje3kVB by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 9,138,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 14 | Watch: http://t.co/fdTkpuQZHf by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 14,139,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 10 | Watch: http://t.co/2EHO8A3F4b by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 10,139,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 13 | Watch: http://t.co/ph9ecZ0tDt by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 13,139,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 3 | Watch: http://t.co/42HlgaHjwd by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 3,138,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 2 | Watch: http://t.co/V3XQutRw3z by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 2,138,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 8 | Watch: http://t.co/THetrwN2q7 by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 8,138,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 12 | Watch: http://t.co/pLqr76xkhX by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 12,139,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 6 | Watch: http://t.co/DY9Rsxo0wY by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 6,138,0,50,50,106,102,58,51,0,0,1,0
VIDEO | [ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 4 | Watch: http://t.co/OSZLsp7lt2 by ZBrush Tutorials | Youtube©,[ ZBrush Tutorials ] How to Creating a Stylized Cartoon Bird Part 4,138,0,50,50,106,102,58,51,0,0,1,0
zbrush a work-in-progress on @Behance :: https://t.co/kZEGo2fwOZ,Behance,64,0,1,0,2,0,45,15,0,1,-1,0
Get your final free #12DaysofZBrush project on detailing &amp; rigging today at http://t.co/UoCwiVMBRk! #ZBrush #3dsMax http://t.co/aIZs2x3ckO,The Online Art School | UArtsy,142,30,15,0,5,0,23,5,3,0,-1,0
WW by Wandong Xu | Tools Maya ZBrush MARI Photoshop VRay Submit ur work to CGMeetup Gallery ... http://t.co/WtipfmRtGq,Alex Smith - WW by Wandong Xu | Tools Maya ZBrush MARI... | Facebook,118,0,4,0,23,1,58,51,0,0,-1,0
We compared #blender vs #zbrush - see results: http://t.co/MlZdBqVoz6,Blender vs Zbrush - Side by side comparison | TechWars,69,15,2,0,2,0,2,0,2,0,-1,0
Visit my #Portfolio now http://t.co/D4dqzQpkgJ via @portfoliobox #2dart #alien #zbrush #creature #concept #design #3dartist #sculpting #art,,139,84,3,1,3,0,45,15,10,1,-1,0
Just $5 can help us reach our goal! Pledge and get a cool reward! https://t.co/nEVCRDN6aW #Maya #ZBrush #unity3d #mobileapp #gaming #ios,Dream Dodger,136,45,1,0,1,0,20,8,6,0,-1,0
RT @dreamdodger: Just $5 can help us reach our goal! Pledge and get a cool reward! https://t.co/nEVCRDN6aW #Maya #ZBrush #unity3d #mobileap…,Dream Dodger,140,45,10,1,1,0,109,34,6,1,-1,1
RT @dreamdodger: Just $5 can help us reach our goal! Pledge and get a cool reward! https://t.co/nEVCRDN6aW #Maya #ZBrush #unity3d #mobileap…,Dream Dodger,140,45,2,1,1,0,2,1,6,1,-1,1
Congrats! You have joined this course. | UArtsy https://t.co/QIboixP8tQ,Detailing And Rigging In ZBrush And 3DS Max | UArtsy,71,0,4,1,5,0,45,15,0,0,-1,0
RT @tony_eight: Visit my #Portfolio now http://t.co/D4dqzQpkgJ via @portfoliobox #2dart #alien #zbrush #creature #concept #design #3dartist…,,140,84,5,2,3,0,5,2,10,2,-1,1
#3D #Modeler &amp; #Texture #Artist #available for #Freelance #Portfolio Link : http://t.co/D126H65cxq @rabiearts #ZBrush #jobs #art #Maya,Rabieart.com,138,86,1,0,1,0,109,34,11,1,-1,0
#UArtsy Merry Christmas all &lt;3!!! https://t.co/3hvw2yhMdg Cant thank you enough for all the 12 courses I received from @ryankingslien,Detailing And Rigging In ZBrush And 3DS Max | UArtsy,136,6,1,0,5,0,45,15,1,1,-1,0
I added a video to a @YouTube playlist http://t.co/mGEHQac1GV ZBrush Retopology and Projection,ZBrush Retopology and Projection,94,0,1,1,106,102,66,59,0,1,1,0
I added a video to a @YouTube playlist http://t.co/y0zurUQ4ow Low Poly Modeling Style Techniques With ZBrush 4r4,Low Poly Modeling Style Techniques With ZBrush 4r4,112,0,4,4,106,102,66,59,0,1,1,0
Congrats! You have joined this course. | UArtsy https://t.co/j15wtbgdpb,Detailing And Rigging In ZBrush And 3DS Max | UArtsy,71,0,1,0,5,0,45,15,0,0,-1,0
#3D #VFX #Animation Sci-fi gallery winner Paul H. Paulino talks about the workflow and inspirations http://t.co/9uaFbzzDjl #3dtotal,Occupy VFX!,131,27,4,3,1,1,4,3,4,0,1,0
Happy Holidays! #christmas #grinch #zbrush http://t.co/FqyVNpA6Jl,Nathan on Instagram: “Happy Holidays! #christmas #grinch #zbrush”,65,25,1,0,63,0,59,0,3,0,-1,0
#MerryChristmas :) - holiday sculpt by George Georgy http://t.co/h9aKZFuaAm #3dart #digitalsculpting #zbrush #3dart http://t.co/KpiylP6w3F,Merry Christmas :) George Georgy,138,54,15,0,16,0,23,5,5,0,-1,0
RT @UArtsy: #MerryChristmas :) - holiday sculpt by George Georgy http://t.co/h9aKZFuaAm #3dart #digitalsculpting #zbrush #3dart http://t.co…,Merry Christmas :) George Georgy,140,54,10,1,16,0,109,34,5,1,-1,1
RT @UArtsy: #MerryChristmas :) - holiday sculpt by George Georgy http://t.co/h9aKZFuaAm #3dart #digitalsculpting #zbrush #3dart http://t.co…,Merry Christmas :) George Georgy,140,54,2,0,16,0,11,5,5,1,-1,1
RT @UArtsy: #MerryChristmas :) - holiday sculpt by George Georgy http://t.co/h9aKZFuaAm #3dart #digitalsculpting #zbrush #3dart http://t.co…,Merry Christmas :) George Georgy,140,54,1,0,16,0,109,34,5,1,-1,1
RT @UArtsy: #MerryChristmas :) - holiday sculpt by George Georgy http://t.co/h9aKZFuaAm #3dart #digitalsculpting #zbrush #3dart http://t.co…,Merry Christmas :) George Georgy,140,54,21,0,16,0,21,0,5,1,-1,1
WW by Wandong Xu | Tools Maya ZBrush MARI Photoshop VRay Submit ur work to CGMeetup Gallery ... http://t.co/WtipfmRtGq,Alex Smith - WW by Wandong Xu | Tools Maya ZBrush MARI... | Facebook,118,0,4,0,23,1,58,51,0,0,-1,0
RT @UArtsy: #MerryChristmas :) - holiday sculpt by George Georgy http://t.co/h9aKZFuaAm #3dart #digitalsculpting #zbrush #3dart http://t.co…,Merry Christmas :) George Georgy,140,54,7,0,16,0,7,0,5,1,-1,1
I liked a @YouTube video from @thecgbros http://t.co/zAIhrwiOur CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,1,1,106,102,66,59,0,2,1,0
I liked a @YouTube video from @thecgbros http://t.co/XfDfwt5Pq4 CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,1,1,106,102,66,59,0,2,1,0
RT @UArtsy: #MerryChristmas :) - holiday sculpt by George Georgy http://t.co/h9aKZFuaAm #3dart #digitalsculpting #zbrush #3dart http://t.co…,Merry Christmas :) George Georgy,140,54,1,0,16,0,109,34,5,1,-1,1
I added a video to a @YouTube playlist http://t.co/GidnCaOCGp CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,129,0,1,1,106,102,66,59,0,1,1,0
I liked a @YouTube video from @thecgbros http://t.co/YBct7AiZSB CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,1,1,106,102,66,59,0,2,1,0
I liked a @YouTube video from @thecgbros http://t.co/D4WNS3FBY2 CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,121,0,2,2,106,102,66,59,0,2,1,0
I liked a @YouTube video from @thecgbros http://t.co/GhEcv1bRFs CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,2,2,106,102,66,59,0,2,1,0
ZBrush and KeyShot Tutorial Now Available- Sculpting Sci-Fi Mech Character Busts http://t.co/6mcyfpKE9f,ZBrush and KeyShot Tutorial Now Available- Sculpting Sci-Fi Mech Character Busts,103,0,6,6,6,6,8,6,0,0,1,0
ZBrush tip of the day by Glen Southern! if you want to make your eyeball from scratch? Check this video out... http://t.co/XHfw5wY5kj,// 3D tip of the day - ZBrush eyeball with symmetry by Glen Southern,133,0,8,3,6,6,23,5,0,0,1,0
Video: alithographicaart: Adult form of Streblospio benedicti. Modeled in ZBrush. Facebook | deviantArt http://t.co/tMedf8IQCt,Scientific Illustration | alithographicaart: Adult form of Streblospio...,126,0,1,0,12,1,13,1,0,0,-1,0
We compared #zbrush vs #blender - see results: http://t.co/cHyBbKEPsY,Zbrush vs Blender - Side by side comparison | TechWars,69,15,2,0,2,0,2,0,2,0,-1,0
Spider woman Gwen Stacy #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush… http://t.co/y181vTUYkk,Dwayne Hanley on Instagram: “Spider woman Gwen Stacy #art #artfollowsme #3dsculpt #3dmodeler #3dobjects #3drenders #zbrush #keyshot #marvel #marvelcomics…”,117,68,12,0,63,0,59,0,7,0,-1,0
I liked a @YouTube video from @thecgbros http://t.co/Hex3njN6iZ CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,121,0,2,2,106,102,66,59,0,2,1,0
I liked a @YouTube video from @thecgbros http://t.co/go90KmDFzP CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,2,2,106,102,66,59,0,2,1,0
How to Create Realistic Male Model with Zbrush | AVCGI 360 http://t.co/LzHY3PMmhE,How to Create Realistic Male Model with Zbrush | AVCGI 360,81,0,11,11,6,6,45,15,0,0,1,0
I liked a @YouTube video from @thecgbros http://t.co/epz3qbGOVD CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,121,0,1,1,106,102,66,59,0,2,1,0
Mangled in Zbrush rendered in Keyshot tinted in Photoshop... http://t.co/E0j56ZkqzK,John Mahoney - Timeline Photos | Facebook,83,0,6,0,23,1,29,6,0,0,-1,0
Mangled in Zbrush rendered in Keyshot tinted in Photoshop... part 2 http://t.co/D1HVjrLXha,John Mahoney - Timeline Photos | Facebook,90,0,6,0,23,1,29,6,0,0,-1,0
How To Create Realistic Female Model with Zbrush | AVCGI 360 http://t.co/ygDeCdFg65,How To Create Realistic Female Model with Zbrush | AVCGI 360,83,0,11,11,6,6,45,15,0,0,1,0
I liked a @YouTube video from @thecgbros http://t.co/T7bB7iOX0S CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,121,0,2,2,106,102,66,59,0,2,1,0
I liked a @YouTube video from @thecgbros http://t.co/vC6K57hiTb CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,2,2,106,102,66,59,0,2,1,0
RT @tony_eight: Visit my #Portfolio now http://t.co/D4dqzQpkgJ via @portfoliobox #2dart #alien #zbrush #creature #concept #design #3dartist…,,140,84,1,0,3,0,109,34,10,2,-1,1
How To Create Realistic Female Model with Zbrush | AVCGI 360 | @scoopit http://t.co/7F6jcSP1wA,How To Create Realistic Female Model with Zbrus...,94,0,11,11,3,3,3,3,0,1,1,0
RT @ActKamal: How To Create Realistic Female Model with Zbrush | AVCGI 360 | @scoopit http://t.co/7F6jcSP1wA,How To Create Realistic Female Model with Zbrus...,108,0,5,5,3,3,109,34,0,2,1,1
Space snail #zbrush #pixologic #3d #modeling #creature #space #snail http://t.co/yl88kC2ze6,@hristianshyne on Instagram: “Space snail #zbrush #pixologic #3d #modeling #creature #space #snail”,91,55,6,0,63,0,59,0,7,0,-1,0
Zbrush Furry(kemono) turntable 15+ http://t.co/XPb48r03OF,,57,0,2,0,2,0,8,6,0,0,-1,0
Easy rider orc #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday… http://t.co/sl5E14xcfS,Valerio Bellia on Instagram: “Easy rider orc #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart #illustration #pixologic…”,120,80,7,0,63,0,59,0,8,0,-1,0
Easy rider orc #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart... http://t.co/VFFap22N04,Valello - Timeline Photos | Facebook,132,90,7,0,23,1,29,6,9,0,-1,0
Photo: Easy rider orc #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday... http://t.co/23TU1YGYaA,Valello — Easy rider orc #3d #3dart #3dmodel #character...,129,80,7,0,12,1,13,1,8,0,-1,0
I liked a @YouTube video from @thecgbros http://t.co/1AirFqWVuX CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,CGI 3D Tutorial HD: War Machine: Zbrush Tutorial - by Joe Grundfast,131,0,2,2,106,102,66,59,0,2,1,0
RT @ValerioFere: Photo: Easy rider orc #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday... http://t.co/23T…,Valello — Easy rider orc #3d #3dart #3dmodel #character...,140,80,21,0,12,1,21,0,8,1,-1,1
RT @ValerioFere: Easy rider orc #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart... http://t.co…,Valello - Timeline Photos | Facebook,139,90,21,0,23,1,21,0,9,1,-1,1
RT @ValerioFere: Easy rider orc #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday… http://t.co/sl5E14xcfS,Valerio Bellia on Instagram: “Easy rider orc #3d #3dart #3dmodel #character #characterdesign #zbrush #picture #pictureoftheday #instaart #illustration #pixologic…”,137,80,21,0,63,0,21,0,8,1,-1,1
I liked a @YouTube video from @thecgbros http://t.co/o8DKUHwCpj CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,CGI 3D Concept HD: Zbrush: WAR MACHINE - by Joe Grundfast,121,0,2,2,106,102,66,59,0,2,1,0
